Data,Tou,Hou,Lw
9/12/22 5:10,0,0,0
9/12/22 5:20,0,0,0
9/12/22 5:30,0,0,0
9/12/22 5:40,0,0,0
9/12/22 5:50,0,0,0
9/12/22 6:00,0,0,0
9/12/22 6:10,0,0,0
9/12/22 6:20,0,0,0
9/12/22 6:30,0,0,0
9/12/22 6:40,0,0,0
9/12/22 6:50,0,0,0
9/12/22 7:00,0,0,0
9/12/22 7:10,0,0,0
9/12/22 7:20,0,0,0
9/12/22 7:30,0,0,0
9/12/22 7:40,0,0,0
9/12/22 7:50,0,0,0
9/12/22 8:00,30.69,56.25,6.07
9/12/22 8:10,30.64,55.23,6.38
9/12/22 8:20,30.73,54.69,6.37
9/12/22 8:30,30.94,52.47,5.73
9/12/22 8:40,31.18,52.41,6.26
9/12/22 8:50,31.23,52.76,6.22
9/12/22 9:00,31.28,50.86,6.14
9/12/22 9:10,31.54,50.98,5.6
9/12/22 9:20,31.62,50.23,5.5
9/12/22 9:30,31.88,50.34,5.59
9/12/22 9:40,32.07,49.85,5.57
9/12/22 9:50,32.18,49.42,4.77
9/12/22 10:00,32.24,49.03,5.49
9/12/22 10:10,32.54,48.74,5.62
9/12/22 10:20,32.93,48.37,5.57
9/12/22 10:30,32.93,48.17,5.7
9/12/22 10:40,33.1,48.59,4.53
9/12/22 10:50,33.46,47.75,6.23
9/12/22 11:00,33.53,47.55,6.28
9/12/22 11:10,33.58,47.87,6.23
9/12/22 11:20,33.72,46.92,6.01
9/12/22 11:30,34.02,46.71,6.16
9/12/22 11:40,34.27,47.37,6.32
9/12/22 11:50,34.4,45.24,6.18
9/12/22 12:00,34.8,43.39,6.27
9/12/22 12:10,34.96,43.39,5.31
9/12/22 12:20,35.13,43.53,5.72
9/12/22 12:30,35.39,42.04,6.2
9/12/22 12:40,35.52,41.84,6.12
9/12/22 12:50,35.67,41.53,6.16
9/12/22 13:00,35.48,41.77,6.22
9/12/22 13:10,36.16,38.96,6.08
9/12/22 13:20,36.09,39.71,5.22
9/12/22 13:30,36.34,37.11,5.27
9/12/22 13:40,36.56,36.53,5.72
9/12/22 13:50,36.8,36.36,5.88
9/12/22 14:00,36.94,36.84,5.82
9/12/22 14:10,37.3,37.46,6.07
9/12/22 14:20,37.12,38.88,6.17
9/12/22 14:30,37.51,35.77,5.35
9/12/22 14:40,37.84,34.83,5.78
9/12/22 14:50,37.67,34.44,5.55
9/12/22 15:00,38.13,32.33,5.66
9/12/22 15:10,38.27,34.45,5.92
9/12/22 15:20,37.8,35.55,5.73
9/12/22 15:30,38.17,33.63,5.26
9/12/22 15:40,38.27,33.32,5.62
9/12/22 15:50,38.35,33.22,5.67
9/12/22 16:00,38.02,34.16,5.6
9/12/22 16:10,39.35,31.2,5.15
9/12/22 16:20,41.96,27.8,5.3
9/12/22 16:30,42.28,26.2,5.48
9/12/22 16:40,42.2,26.2,5.56
9/12/22 16:50,41.96,27.13,5.42
9/12/22 17:00,41.18,27.6,4.71
9/12/22 17:10,40.78,28.06,4.75
9/12/22 17:20,40.14,28.28,4.57
9/12/22 17:30,39.45,29.75,5.69
9/12/22 17:40,38.79,30.77,5.54
9/12/22 17:50,38.2,31.23,5.26
9/12/22 18:00,36.4,35.8,5.68
9/12/22 18:10,35.4,37.54,5.83
9/12/22 18:20,34.83,39.18,5.91
9/12/22 18:30,34.32,40.99,5.51
9/12/22 18:40,34.2,39.96,5.62
